energy,intensity,residual,fit,pseudovoigt_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6
-0.8500000000000028,0.0648331924597528,-0.05080710243536782,0.014026090024384985,0.014026090024384982,2.2708914882166925e-92,5.0159129644990064e-76,7.702288824369507e-101,1.083732900502029e-208,2.553218370539976e-172
-0.8333333333333361,0.0440909080060478,-0.029517345639323865,0.014573562366723934,0.014573562366723936,3.2750158991328544e-91,3.0793368265150064e-75,6.243681627860655e-100,2.2296541196282922e-207,4.546849556634046e-171
-0.8166666666666694,0.098570421154747,-0.08341685535127076,0.015153565803476238,0.015153565803476243,4.642986420228701e-90,1.872334447004831e-74,5.0128040389446974e-99,4.5433036570740985e-206,8.012052163925895e-170
-0.8000000000000029,0.0226088117964225,-0.006840095666804182,0.015768716129618318,0.015768716129618318,6.470657083874789e-89,1.1275315084989727e-73,3.986022381677703e-98,9.169065164395484e-205,1.396971386543236e-168
-0.7833333333333363,0.100762417028144,-0.08434052105644141,0.016421895971702585,0.01642189597170259,8.86474661746826e-88,6.72501061580134e-73,3.139191185731909e-97,1.8327253289120534e-203,2.4101374581343634e-167
-0.7666666666666697,0.0287293767335133,-0.011613088799587244,0.017116287933926055,0.017116287933926055,1.193854055368381e-86,3.972613273595644e-72,2.4485829859045045e-96,3.628179227887652e-202,4.114401536310634e-166
-0.750000000000003,0.0870234230693911,-0.0691680104512487,0.017855412618142413,0.017855412618142413,1.5805313769823786e-85,2.324227483561071e-71,1.891607017335364e-95,7.11375839244505e-201,6.949956616200032e-165
-0.7333333333333365,0.0676497631364179,-0.04900659078777525,0.018643172348642656,0.018643172348642656,2.0569416659314267e-84,1.3467903723567087e-70,1.447324898205754e-94,1.3814288359243892e-199,1.161630677778065e-163
-0.7166666666666699,0.0285448773313878,-0.00906097573731041,0.01948390159407739,0.01948390159407739,2.631526813157306e-83,7.72930423095935e-70,1.0967816556144192e-93,2.656910660163971e-198,1.9211647582591503e-162
-0.7000000000000033,0.1017561009070582,-0.08137367563124842,0.020382425275809773,0.020382425275809767,3.3094863492709563e-82,4.393390719019633e-69,8.231772331358221e-93,5.0610941126500805e-197,3.1439216109952427e-161
-0.6833333333333367,0.0272996614703738,-0.005955535077478539,0.02134412639289526,0.02134412639289526,4.0914793087363957e-81,2.4733084574618695e-68,6.119071824095042e-92,9.54840657115549e-196,5.0908390391639056e-160
-0.6666666666666701,0.1131043218039902,-0.09072929711426428,0.022375024689725923,0.02237502468972592,4.9724118744619064e-80,1.3790365113804846e-67,4.505020577724149e-91,1.7841707721518548e-194,8.156758080397568e-159
-0.6500000000000035,0.0511879730170864,-0.027706104559987864,0.023481868457098536,0.023481868457098536,5.940469920041953e-79,7.615392197635955e-67,3.284936925979522e-90,3.3018775696954036e-193,1.2931721917983715e-157
-0.6333333333333369,0.034413610336566,-0.009741368327650643,0.02467224200891536,0.02467224200891536,6.976562318268348e-78,4.1651228221741133e-66,2.3723366537687626e-89,6.052078315819114e-192,2.0286433019711433e-156
-0.6166666666666702,0.0528502127012304,-0.026895520763384598,0.025954691937845803,0.025954691937845803,8.054324544168903e-77,2.2562248497279695e-65,1.6968546022317862e-88,1.0986696824214508e-190,3.1489486955562592e-155
-0.6000000000000036,0.1066084309163803,-0.07926955496268855,0.02733887595369175,0.027338875953691753,9.140790242864747e-76,1.2104754105489203e-64,1.2020761214428873e-87,1.975371435123521e-189,4.836553962291391e-154
-0.5833333333333369,0.1173750907386769,-0.08853935175234137,0.028835738986335527,0.02883573898633553,1.0197772791457132e-74,6.432037873546144e-64,8.434092069437073e-87,3.517624084449421e-188,7.350502836750493e-153
-0.5666666666666704,0.121347991954812,-0.09089026961372762,0.030457722341084376,0.030457722341084372,1.1183915846012701e-73,3.3850122302235013e-63,5.860892191968017e-86,6.20396173898751e-187,1.1053724104229398e-151
-0.5500000000000038,0.0404159738107429,-0.008196960717219405,0.03221901309352349,0.03221901309352349,1.205728204442752e-72,1.7643750961237468e-62,4.033742360460104e-85,1.0836968805394954e-185,1.644791113232914e-150
-0.5333333333333372,0.1229318938881705,-0.08879605119827608,0.03413584268989442,0.03413584268989442,1.2778265873857302e-71,9.108369156569749e-62,2.7496132174614318e-84,1.874845840246174e-184,2.421717277749456e-149
-0.5166666666666706,0.0555696318939941,-0.01934278590248567,0.03622684599150843,0.03622684599150843,1.331255425535566e-70,4.657033442640203e-61,1.8563253076615072e-83,3.2124940478936997e-183,3.528147139508848e-148
-0.500000000000004,0.0882898705374889,-0.049776375618375175,0.03851349491911372,0.03851349491911372,1.3633828663802202e-69,2.3582894989617822e-60,1.2412395126204959e-82,5.451777559299568e-182,5.086048492864387e-147
-0.4833333333333373,0.1329954144767543,-0.09197478985947269,0.04102062461728162,0.04102062461728163,1.3725913056747335e-68,1.1827798181107455e-59,8.220081557689255e-82,9.163322073676476e-181,7.254790298855817e-146
-0.4666666666666708,0.1368883871498967,-0.09311131220983739,0.04377707494005932,0.04377707494005932,1.3584123643752472e-67,5.8752955974515735e-59,5.391575470500433e-81,1.5254107516476875e-179,1.0239524505839747e-144
-0.4500000000000042,0.1255701838721387,-0.07875370745135661,0.046816476420782085,0.046816476420782085,1.321566370361801e-66,2.8905105957032842e-58,3.50246882896342e-80,2.5150098055081547e-178,1.430030416805292e-143
-0.4333333333333376,0.1085897237046845,-0.05841150548336686,0.05017821822131764,0.05017821822131764,1.2639017118711058e-65,1.4084402818910297e-57,2.253470602053974e-79,4.106875996859757e-177,1.9761564286538778e-142
-0.4166666666666709,0.1403809962644879,-0.08647234974226436,0.05390864652222355,0.05390864652222355,1.1882411708375731e-64,6.797063656524756e-57,1.4359805005001485e-78,6.642055881478051e-176,2.702140477608783e-141
-0.4000000000000044,0.1469699555212256,-0.08890739920784017,0.05806255631338543,0.05806255631338543,1.0981530204546787e-63,3.2488021565117304e-56,9.062837983413159e-78,1.0639286112431459e-174,3.6559907310702906e-140
-0.3833333333333377,0.1182748109964727,-0.05556975220593763,0.06270505879053508,0.06270505879053508,9.976727159665351e-63,1.5379570956046699e-55,5.664987000370471e-77,1.6878796571827907e-173,4.894550435559879e-139
-0.3666666666666711,0.1231001363483661,-0.0551862041504957,0.0679139321978704,0.0679139321978704,8.910053279238295e-62,7.210812506632977e-55,3.5071363196025866e-76,2.652097570247874e-172,6.483822082693679e-138
-0.3500000000000045,0.1238992171385282,-0.050116618957635015,0.07378259818089318,0.07378259818089318,7.82239022258729e-61,3.348445343350029e-54,2.1504304648610405e-75,4.127209781747475e-171,8.498845407795866e-137
-0.3333333333333379,0.1254181731096307,-0.044994261673345706,0.08042391143628498,0.08042391143628498,6.750961382932313e-60,1.540001887789542e-53,1.3059218519239203e-74,6.361252265188274e-170,1.1022987860600504e-135
-0.3166666666666712,0.0891305380394382,-0.0011555266171532352,0.08797501142228496,0.08797501142228496,5.727416164981498e-59,7.01484888643761e-53,7.854671050997397e-74,9.710637021492709e-169,1.4146509249216627e-134
-0.3000000000000047,0.158725588571065,-0.06212202281611724,0.09660356575494776,0.09660356575494776,4.7765994980817294e-58,3.1647136077734997e-52,4.6790516843309654e-73,1.4681548047976151e-167,1.7964279594256626e-133
-0.2833333333333381,0.1227118489982552,-0.016196008120908878,0.10651584087734632,0.10651584087734632,3.9160288887697563e-57,1.4140655333040852e-51,2.7606205139096167e-72,2.198441980873393e-166,2.2572563469091955e-132
-0.2666666666666715,0.1198807815874692,-0.0019136102612165307,0.11796717132625267,0.11796717132625267,3.156021228741672e-56,6.257828935073513e-51,1.6131494602765257e-71,3.2604473707915003e-165,2.806483667066639e-131
-0.2500000000000049,0.1908936057417852,-0.05961804024704892,0.1312755654947363,0.1312755654947363,2.500350630647108e-55,2.7428172053751347e-50,9.336014795887433e-71,4.789149649168886e-164,3.4526671640513064e-130
-0.2333333333333382,0.193999550302129,-0.0471601771561562,0.1468393731459728,0.1468393731459728,1.9472821601419162e-54,1.1906635836354329e-49,5.3514008501172073e-70,6.967205963570606e-163,4.202981410313915e-129
-0.2166666666666716,0.1867051482381324,-0.02154503857329676,0.16516010966483563,0.16516010966483563,1.4908152464494332e-53,5.1191788713714734e-49,3.038032833064382e-69,1.0038710232596711e-161,5.062566988785815e-128
-0.200000000000005,0.2080989925373333,-0.021227413447149984,0.18687157909018332,0.18687157909018332,1.121981604877947e-52,2.1798698579366205e-48,1.7081911629399917e-68,1.432571198630512e-160,6.033852033520787e-127
-0.1833333333333384,0.231716527987583,-0.018940420148990195,0.2127761078385928,0.2127761078385928,8.300698091200375e-52,9.19347830656669e-48,9.512605936122454e-68,2.0247599435978657e-159,7.115887739614525e-126
-0.1666666666666718,0.2484093442785573,-0.004521928918642865,0.24388741535991443,0.24388741535991443,6.036851187559314e-51,3.840149860161511e-47,5.2466436684639e-67,2.834326603722149e-158,8.303746441680326e-125
-0.1500000000000052,0.3310743928003237,-0.049598241435586,0.2814761513647377,0.2814761513647377,4.315919075949783e-50,1.5886766700494526e-46,2.866042728403605e-66,3.9295722098205933e-157,9.588035422460398e-124
-0.1333333333333386,0.3668499446535448,-0.039744123513963336,0.3271058211395815,0.3271058211395815,3.033214240233686e-49,6.50941395765147e-46,1.5506107118028036e-65,5.395847689542815e-156,1.0954580206933424e-122
-0.116666666666672,0.3891363703418967,-0.006507707741139179,0.3826286626007575,0.3826286626007575,2.0955587934506175e-48,2.6416014331812244e-45,8.308869283907887e-65,7.338260394987708e-155,1.2384326931942137e-121
-0.1000000000000054,0.4694195689321354,-0.019345155113361656,0.4500744138187737,0.4500744138187737,1.4231922964975857e-47,1.0617242090895059e-44,4.409609193457052e-64,9.884292358798678e-154,1.3853504062210926e-120
